Body_Fat,Density,Weight,BMI,Fat_Free_Weight,Chest,Thigh,Forearm
12.6 ,1.0708 ,154.3 ,23.7 ,134.9 ,93.1 ,59.0 ,27.4 
6.9 ,1.0853 ,173.3 ,23.4 ,161.3 ,93.6 ,58.7 ,28.9 
24.6 ,1.0414 ,154.0 ,24.7 ,116.0 ,95.8 ,59.6 ,25.2 
10.9 ,1.0751 ,184.8 ,24.9 ,164.7 ,101.8 ,60.1 ,29.4 
27.8 ,1.0340 ,184.3 ,25.6 ,133.1 ,97.3 ,63.2 ,27.7 
20.6 ,1.0502 ,210.3 ,26.5 ,167.0 ,104.5 ,66.0 ,30.6 
19.0 ,1.0549 ,181.0 ,26.2 ,146.6 ,105.1 ,58.4 ,27.8 
12.8 ,1.0704 ,176.0 ,23.6 ,153.6 ,99.6 ,60.0 ,29.0 
5.1 ,1.0900 ,191.0 ,24.6 ,181.3 ,100.9 ,62.9 ,31.1 
12.0 ,1.0722 ,198.3 ,25.8 ,174.4 ,99.6 ,63.1 ,30.0 
7.5 ,1.0830 ,186.3 ,23.6 ,172.3 ,101.5 ,59.7 ,29.4 
8.5 ,1.0812 ,216.0 ,26.3 ,197.7 ,103.6 ,66.2 ,30.2 
20.5 ,1.0513 ,180.5 ,26.3 ,143.5 ,102.0 ,63.4 ,28.6 
20.8 ,1.0505 ,205.3 ,28.5 ,162.5 ,104.1 ,66.0 ,31.6 
21.7 ,1.0484 ,187.8 ,27.4 ,147.0 ,101.3 ,69.0 ,30.5 
20.5 ,1.0512 ,162.8 ,26.3 ,129.3 ,99.1 ,63.1 ,26.4 
28.1 ,1.0333 ,195.8 ,27.3 ,140.8 ,101.9 ,64.8 ,30.8 
22.4 ,1.0468 ,209.3 ,29.2 ,162.5 ,107.6 ,66.9 ,31.6 
16.1 ,1.0622 ,183.8 ,28.2 ,154.3 ,106.8 ,64.2 ,30.5 
16.5 ,1.0610 ,211.8 ,27.6 ,176.8 ,106.2 ,65.8 ,30.1 
19.0 ,1.0551 ,179.0 ,27.3 ,145.1 ,103.3 ,63.5 ,30.3 
15.3 ,1.0640 ,200.5 ,29.1 ,169.8 ,111.4 ,63.4 ,32.8 
15.7 ,1.0631 ,140.3 ,21.2 ,118.2 ,86.0 ,57.4 ,25.9 
17.6 ,1.0584 ,148.8 ,21.4 ,122.6 ,86.7 ,54.9 ,26.7 
14.2 ,1.0668 ,151.3 ,23.2 ,129.8 ,90.2 ,58.4 ,28.0 
4.6 ,1.0911 ,159.3 ,21.9 ,151.9 ,89.6 ,55.0 ,28.2 
8.5 ,1.0811 ,131.5 ,20.3 ,120.3 ,88.6 ,51.7 ,27.0 
22.4 ,1.0468 ,148.0 ,22.9 ,114.9 ,97.4 ,57.5 ,26.6 
4.7 ,1.0910 ,133.3 ,22.4 ,127.0 ,93.5 ,50.1 ,27.9 
9.4 ,1.0790 ,160.8 ,23.8 ,145.7 ,97.4 ,58.9 ,26.7 
12.3 ,1.0716 ,182.0 ,23.6 ,159.7 ,100.5 ,57.5 ,27.7 
6.5 ,1.0862 ,160.3 ,22.2 ,149.8 ,93.5 ,58.5 ,26.4 
13.4 ,1.0719 ,168.0 ,23.3 ,142.5 ,93.0 ,57.3 ,30.0 
20.9 ,1.0502 ,218.5 ,30.5 ,172.7 ,111.7 ,67.1 ,31.5 
31.1 ,1.0263 ,247.3 ,32.2 ,170.4 ,117.0 ,71.2 ,31.7 
38.2 ,1.0101 ,191.8 ,32.0 ,118.4 ,118.5 ,61.9 ,29.8 
23.6 ,1.0438 ,202.3 ,29.1 ,154.5 ,106.5 ,63.5 ,30.6 
27.5 ,1.0346 ,196.8 ,29.7 ,142.6 ,105.6 ,66.0 ,30.5 
33.8 ,1.0202 ,363.2 ,48.9 ,240.5 ,136.2 ,87.3 ,29.0 
31.3 ,1.0258 ,203.0 ,31.8 ,139.4 ,114.8 ,61.3 ,31.0 
33.1 ,1.0217 ,262.8 ,39.1 ,175.8 ,128.3 ,72.5 ,32.7 
31.7 ,1.0250 ,205.0 ,29.9 ,140.1 ,106.0 ,70.6 ,28.7 
30.4 ,1.0279 ,217.0 ,31.2 ,151.1 ,113.3 ,67.7 ,29.8 
30.8 ,1.0269 ,212.0 ,29.2 ,146.7 ,106.6 ,65.0 ,31.5 
8.4 ,1.0814 ,125.3 ,19.1 ,114.7 ,85.1 ,50.0 ,23.1 
14.1 ,1.0670 ,164.3 ,21.3 ,141.1 ,96.6 ,58.4 ,27.4 
11.2 ,1.0742 ,133.5 ,20.6 ,118.5 ,88.2 ,53.3 ,26.2 
6.4 ,1.0665 ,148.5 ,20.6 ,139.0 ,89.8 ,52.7 ,26.8 
13.4 ,1.0678 ,135.8 ,20.4 ,117.6 ,92.3 ,52.0 ,25.5 
5.0 ,1.0903 ,127.5 ,20.2 ,121.2 ,83.4 ,50.6 ,25.8 
10.7 ,1.0756 ,158.3 ,21.3 ,141.4 ,90.2 ,52.6 ,25.8 
7.4 ,1.0840 ,139.3 ,20.6 ,129.0 ,89.2 ,51.4 ,26.1 
8.7 ,1.0807 ,137.3 ,21.1 ,125.3 ,89.7 ,49.3 ,26.0 
7.1 ,1.0848 ,152.8 ,19.9 ,142.0 ,93.3 ,52.6 ,27.4 
4.9 ,1.0906 ,136.3 ,21.1 ,129.6 ,87.6 ,51.9 ,27.5 
22.2 ,1.0473 ,198.0 ,26.9 ,154.1 ,107.6 ,57.2 ,30.2 
20.1 ,1.0524 ,181.5 ,27.6 ,145.1 ,100.0 ,62.1 ,28.3 
27.1 ,1.0356 ,201.3 ,29.3 ,146.7 ,111.5 ,61.8 ,30.9 
